created_at,favorite_count,full_text,quote_count,reply_count,retweet_count,username,tokens,sentiment
Fri Aug 02 16:19:03 +0000 2024,1,wts preloved azarine oil free brightening daily moisturizer turun harga diri jarang pakai karena enggak cocok isi kurleb exp nov cowok via ke net bekasibanten wts wtb skincare azarine moisturizer,1,1,1,mudslugg_,"['wts', 'preloved', 'azarine', 'oil', 'free', 'brightening', 'daily', 'moisturizer', 'turun', 'harga', 'jarang', 'pakai', 'enggak_cocok', 'isi', 'kurleb', 'exp', 'nov', 'cowok', 'via', 'net', 'bekasibanten', 'wts', 'wtb', 'skincare', 'azarine', 'moisturizer']",Negative
Fri Aug 02 16:17:47 +0000 2024,0,cek azarine cicamide barrier sunscreen moisturiser spf apa ml dengan harga rp dapat di shopee sekarang,0,0,0,lhjmrk,"['cek', 'azarine', 'cicamide', 'barrier', 'sunscreen', 'moisturiser', 'spf', 'ml', 'harga', 'rp', 'shopee']",Neutral
Fri Aug 02 16:08:46 +0000 2024,0,st ku dry skin pernah pakai ini tapi enggak rasai efek apa mungkin kurang ngelembabin di aku terus sekarang pakenya toner azarine yang moisture rich hydrating itu lumayan enak sih apalagi telah pakai moist the originote mantap jadi lembab banget kulitkuu,0,0,0,piecesofeca,"['st', 'ku', 'dry', 'skin', 'pakai', 'enggak_rasai', 'efek', 'kurang_ngelembabin', 'pakenya', 'toner', 'azarine', 'moisture', 'rich', 'hydrating', 'lumayan', 'enak', 'sih', 'pakai', 'moist', 'the', 'originote', 'mantap', 'lembab', 'banget', 'kulitkuu']",Negative
Fri Aug 02 15:56:57 +0000 2024,0,toner cosrx propolis essence cosrx snail mucin toner skin yang kuning retinol azarine moist niacella cosrx amp skin adalah koentji,0,0,0,ill__xxx_,"['toner', 'cosrx', 'propolis', 'essence', 'cosrx', 'snail', 'mucin', 'toner', 'skin', 'kuning', 'retinol', 'azarine', 'moist', 'niacella', 'cosrx', 'amp', 'skin', 'koentji']",Positive
Fri Aug 02 15:45:48 +0000 2024,0,sudah coba azarine yang acne,0,1,0,akkksani,"['coba', 'azarine', 'acne']",Neutral
Fri Aug 02 15:41:40 +0000 2024,1,dengar musik skroll tl atau egk tiktok basic skincare serum exfo azarine pernahh waktu caratland kemarin fear seventeen sama unggass bisa bilang iya sih semuaa memberr punya thryphobia sama acrophobia,0,1,0,voyageyz,"['dengar', 'musik', 'skroll', 'tl', 'egk', 'tiktok', 'basic', 'skincare', 'serum', 'exfo', 'azarine', 'pernahh', 'caratland', 'kemarin', 'fear', 'seventeen', 'unggass', 'bilang', 'iya', 'sih', 'semuaa', 'memberr', 'thryphobia', 'acrophobia']",Neutral
Fri Aug 02 15:19:59 +0000 2024,0,temu azarine hydrasoothe sunscreen gel spf apa di blibli lagi diskon harga jadi rp coba buka linknya deh,0,0,0,Ph13n,"['temu', 'azarine', 'hydrasoothe', 'sunscreen', 'gel', 'spf', 'blibli', 'diskon', 'harga', 'rp', 'coba', 'buka', 'linknya', 'deh']",Positive
Fri Aug 02 15:00:08 +0000 2024,0,bukann yang satunyanya yang biasa di iklan azarine ituloo yang bening,0,1,0,Sugar_Sayang,"['bukann', 'satunyanya', 'iklan', 'azarine', 'ituloo', 'bening']",Neutral
Fri Aug 02 14:59:10 +0000 2024,0,lip tint nya omg nderr sama azarine,0,0,0,ranitidinehcl_,"['lip', 'tint', 'nya', 'omg', 'nderr', 'azarine']",Neutral
Fri Aug 02 14:52:44 +0000 2024,0,azarine maybe itu paling ringan di kulit wajah banding wardah,0,0,0,ray22256,"['azarine', 'maybe', 'ringan', 'kulit', 'wajah', 'banding', 'wardah']",Positive
Fri Aug 02 14:51:09 +0000 2024,0,exfo tonernya mantap banget aku belum pernah coba nih tonernyq azarine,0,0,0,diveppie,"['exfo', 'tonernya', 'mantap', 'banget', 'belum_pernah', 'coba', 'nih', 'tonernyq', 'azarine']",Positive
Fri Aug 02 14:49:47 +0000 2024,0,wts list produk pt harga scroll ke atas skin hyalucica sun serum ml sleeping pack mask ml lain some by mi sbm yuja niacin toner ml azarine sunscreen hydramax cicamide mist facetology ss biore aqua rich watery gel ss face amp body ml,0,1,0,searinisa,"['wts', 'list', 'produk', 'pt', 'harga', 'scroll', 'skin', 'hyalucica', 'sun', 'serum', 'ml', 'sleeping', 'pack', 'mask', 'ml', 'some', 'by', 'mi', 'sbm', 'yuja', 'niacin', 'toner', 'ml', 'azarine', 'sunscreen', 'hydramax', 'cicamide', 'mist', 'facetology', 'ss', 'biore', 'aqua', 'rich', 'watery', 'gel', 'ss', 'face', 'amp', 'body', 'ml']",Neutral
Fri Aug 02 14:45:08 +0000 2024,0,wkwk sama ih sama rp deh enggak ada lagi,0,0,0,bigwinyook,"['wkwk', 'ih', 'rp', 'dah', 'enggak_ada']",Neutral
Fri Aug 02 14:44:19 +0000 2024,1,pakai azarine saja aku oily skin juga dan cocok apalagi aku yang sering pakai buat base makeup enggak gampang ngelopek,0,1,0,Sugar_Sayang,"['pakai', 'azarine', 'oily', 'skin', 'cocok', 'pakai', 'base', 'makeup', 'enggak_gampang', 'ngelopek']",Positive
Fri Aug 02 14:42:33 +0000 2024,2,yes roma kelapa azarine cosmetic,0,0,0,DA_LMH,"['yes', 'roma', 'kelapa', 'azarine', 'cosmetic']",Neutral
Fri Aug 02 14:37:18 +0000 2024,0,done kak,0,0,0,zadastuff,"['done', 'kak']",Neutral
Fri Aug 02 14:28:36 +0000 2024,0,padahal roma kelapa sama azarine dari indonesia tapi lebih pilih di malaysia,0,1,0,dazzlingaquaaa,"['roma', 'kelapa', 'azarine', 'indonesia', 'pilih', 'malaysia']",Neutral
Fri Aug 02 14:25:50 +0000 2024,0,sudah guys gue pamit undur diri,0,0,0,ssailerrmun,"['guys', 'gue', 'pamit', 'undur']",Neutral
Fri Aug 02 14:23:56 +0000 2024,1,apa ya kalo skinker aku simpel kali mau nivea dapat gratis fw degrees kalo habis mau coba yang lain toner hadalabo moist degrees juga mau balik hadalabo kayak ss azarine oren lipmask emina pink,0,0,0,elkiraihan,"['ya', 'kalo', 'skinker', 'simpel', 'kali', 'nivea', 'gratis', 'fw', 'degrees', 'kalo', 'habis', 'coba', 'toner', 'hadalabo', 'moist', 'degrees', 'hadalabo', 'kayak', 'ss', 'azarine', 'oren', 'lipmask', 'emina', 'pink']",Positive
Fri Aug 02 14:20:23 +0000 2024,0,sac sudah ya sac,0,0,0,ssailerrmun,"['sac', 'ya', 'sac']",Neutral
Fri Aug 02 14:17:28 +0000 2024,0,gue kasih permen satu satu,0,0,0,ssailerrmun,"['gue', 'kasih', 'permen']",Neutral
Fri Aug 02 14:17:03 +0000 2024,1,ayo dek masuk gizi dek tahun depan himanya gue tenang saja gue kasih main hp puas,0,1,0,ssailerrmun,"['ayo', 'dek', 'masuk', 'gizi', 'dek', 'himanya', 'gue', 'tenang', 'gue', 'kasih', 'main', 'hp', 'puas']",Neutral
Fri Aug 02 14:12:04 +0000 2024,0,ombrella bau enggak enak sudah kali beli masih sama bau bnb yang pernah viral cepat basi dan enggak ada stainnya focallure yang pernah viral lengketttt azarine enggak ada stainnya di aku hanasui cepat kering dan bikin item raecca bau cepat ubah myb vinyl dan matte ink lengket banget,0,0,0,irenedibacayrin,"['ombrella', 'bau', 'enggak_enak', 'kali', 'beli', 'bau', 'bnb', 'viral', 'cepat', 'basi', 'enggak_ada', 'stainnya', 'focallure', 'viral', 'lengketttt', 'azarine', 'enggak_ada', 'stainnya', 'hanasui', 'cepat', 'kering', 'bikin', 'item', 'raecca', 'bau', 'cepat', 'ubah', 'myb', 'vinyl', 'matte', 'ink', 'lengket', 'banget']",Negative
Fri Aug 02 14:10:39 +0000 2024,0,anak gizi kalo gibah pasti gibahin dia,0,0,0,ssailerrmun,"['anak', 'gizi', 'kalo', 'gibah', 'gibahin']",Neutral
Fri Aug 02 14:10:32 +0000 2024,0,tebak gibahin siapa,0,0,0,ssailerrmun,"['tebak', 'gibahin']",Neutral
Fri Aug 02 14:09:49 +0000 2024,0,isaac dendam kesumat sama sih r,0,0,0,ssailerrmun,"['isaac', 'dendam', 'kesumat', 'sih', 'r']",Neutral
Fri Aug 02 13:58:47 +0000 2024,30,kalo mau lippies murah ribu ringan pol enggak bikin bibir kering cocok pakai daily stain nya nampolll shade nya cantik wajib coba emina amp azarine iniyy,0,1,3,nrosynr,"['kalo', 'lippies', 'murah', 'ribu', 'ringan', 'pol', 'enggak_bikin', 'bibir', 'kering', 'cocok', 'pakai', 'daily', 'stain', 'nya', 'nampolll', 'shade', 'nya', 'cantik', 'wajib', 'coba', 'emina', 'amp', 'azarine', 'iniyy']",Positive
Fri Aug 02 13:54:53 +0000 2024,0,iya gue sempat kepo azarine sih btw kalau suka matte checkmattenya somethinc lumayan tapi idolnya kering kayak kertas,0,1,0,amouralle,"['iya', 'gue', 'kepo', 'azarine', 'sih', 'btw', 'suka', 'matte', 'checkmattenya', 'somethinc', 'lumayan', 'idolnya', 'kering', 'kayak', 'kertas']",Neutral
Fri Aug 02 13:54:17 +0000 2024,0,azarine bagus tau pakai azarine coba deh,0,0,0,inijolie,"['azarine', 'bagus', 'tau', 'pakai', 'azarine', 'coba', 'deh']",Positive
Fri Aug 02 13:49:16 +0000 2024,0,isaac istighfar,0,0,0,ssailerrmun,"['isaac', 'istighfar']",Neutral
Fri Aug 02 13:48:25 +0000 2024,0,azarine ijooo,0,0,0,mikuahanget,"['azarine', 'ijooo']",Neutral
Fri Aug 02 13:47:11 +0000 2024,1,gue kayak begini juga karena jrg di apresiasi keluarga pas kuliah dapat teman yang apa dirayain pas teman gue kasih surprise bingung responnya gimanaaa wkwk tiap ada yang muji apa juga bingung ngresponnya,0,0,0,bigwinyook,"['gue', 'kayak', 'jrg', 'apresiasi', 'keluarga', 'pas', 'kuliah', 'teman', 'dirayain', 'pas', 'teman', 'gue', 'kasi', 'surprise', 'bingung', 'responnya', 'gimanaaa', 'wkwk', 'muji', 'bingung', 'ngresponnya']",Neutral
Fri Aug 02 13:45:04 +0000 2024,0,open jastip social chicfee only ke banyak brand skincare beberapa dari somethinc azarine camille msglow dll xixi boleeeh join dulu saja grup sekali lihat katalog,0,1,0,spotydizz,"['open', 'jastip', 'social', 'chicfee', 'only', 'brand', 'skincare', 'somethinc', 'azarine', 'camille', 'msglow', 'dll', 'xixi', 'boleeeh', 'join', 'grup', 'lihat', 'katalog']",Neutral
Fri Aug 02 13:42:57 +0000 2024,0,open jastip social chicfee only ke banyak brand skincare beberapa dari somethinc azarine camille msglow dll xixi boleeeh join dulu saja grup sekali lihat katalog,0,1,0,spotydizz,"['open', 'jastip', 'social', 'chicfee', 'only', 'brand', 'skincare', 'somethinc', 'azarine', 'camille', 'msglow', 'dll', 'xixi', 'boleeeh', 'join', 'grup', 'lihat', 'katalog']",Neutral
Fri Aug 02 13:40:46 +0000 2024,0,isaac keti lu di jaga minimal,0,0,0,ssailerrmun,"['isaac', 'keti', 'lu', 'jaga', 'minimal']",Neutral
Fri Aug 02 13:39:00 +0000 2024,0,kentut kentut kentut,0,0,0,ssailerrmun,"['kentut', 'kentut', 'kentut']",Neutral
Fri Aug 02 13:38:53 +0000 2024,0,sih kentut,0,1,0,ssailerrmun,"['si', 'kentut']",Neutral
Fri Aug 02 12:34:21 +0000 2024,0,wtswant tapi sell azarine moisture rich hydrating toner ke barang new original store exp kalo mau tanya boleh dm ya tangerang bisa checkout lewat toko,0,0,0,prettiestyeoja,"['wtswant', 'sell', 'azarine', 'moisture', 'rich', 'hydrating', 'toner', 'barang', 'new', 'original', 'store', 'exp', 'kalo', 'dm', 'ya', 'tangerang', 'checkout', 'toko']",Neutral
Fri Aug 02 12:29:58 +0000 2024,0,ke kak bisa req ss azarine yang lainn,0,1,0,temnbaga,"['kak', 'req', 'ss', 'azarine', 'lainn']",Neutral
Fri Aug 02 12:26:42 +0000 2024,0,ombrella totem kering keriput di bibir azarine tint patchy gampang hilang warna gonjreng banget buset myb vinyl lengket enggak sepigmented itu enggak transferproof touch upnya susah lagi after beaute gampang hilang myb yang tutup item kering coo vsline tinted kering keriput,0,0,0,belleightt,"['ombrella', 'totem', 'kering', 'keriput', 'bibir', 'azarine', 'tint', 'patchy', 'gampang', 'hilang', 'warna', 'gonjreng', 'banget', 'buset', 'myb', 'vinyl', 'lengket', 'enggak_sepigmented', 'enggak_transferproof', 'touch', 'upnya', 'susah', 'after', 'beaute', 'gampang', 'hilang', 'myb', 'tutup', 'item', 'kering', 'coo', 'vsline', 'tinted', 'kering', 'keriput']",Negative
Fri Aug 02 12:25:50 +0000 2024,2,open jastip social chicfee only ke banyak brand skincare beberapa dari somethinc azarine camille msglow dll xixi boleeeh join dulu saja grup sekali lihat katalog,0,0,0,spotydizz,"['open', 'jastip', 'social', 'chicfee', 'only', 'brand', 'skincare', 'somethinc', 'azarine', 'camille', 'msglow', 'dll', 'xixi', 'boleeeh', 'join', 'grup', 'lihat', 'katalog']",Neutral
Fri Aug 02 12:25:50 +0000 2024,0,liptint azarine oksidasi banget hanasui lip glazed kering banget padahal sudah pakai lipbalm belum,0,0,0,sblllzh,"['liptint', 'azarine', 'oksidasi', 'banget', 'hanasui', 'lip', 'glazed', 'kering', 'banget', 'pakai', 'lipbalm']",Negative
Fri Aug 02 12:20:19 +0000 2024,0,kalo di aku azarine lebih oke sih kak soal lebih nutup warna bibir tintnya nyala warna tapi transfer lumayan kalo bnb ini dia enggak terlalu nutup warna bibir jadi pakenya harus agak ekstra tintnya sheer tapi transfer enggak heboh,0,0,0,Whitebo412D,"['kalo', 'azarine', 'oke', 'sih', 'kak', 'nutup', 'warna', 'bibir', 'tintnya', 'nyala', 'warna', 'transfer', 'lumayan', 'kalo', 'bnb', 'enggak_terlalu', 'nutup', 'warna', 'bibir', 'pakenya', 'ekstra', 'tintnya', 'sheer', 'transfer', 'enggak_heboh']",Positive
Fri Aug 02 12:07:34 +0000 2024,0,pengin beli liptint begitu mending sea makeup atau azarine ya,0,0,0,siuwiuo_o,"['pengin', 'beli', 'liptint', 'mending', 'sea', 'makeup', 'azarine', 'ya']",Neutral
Fri Aug 02 12:03:43 +0000 2024,453,blooming deals spesial anniversary yang ke msbb kasih diskon murah riah buat warga jogja serba ke ke dapat worth tapi ke ada avoskin lacoco azarine blp base kitschy luxcrime somethinc oasea dan masih banyak lagi,70,84,30,msbb_id,"['blooming', 'deals', 'spesial', 'anniversary', 'msbb', 'kasih', 'diskon', 'murah', 'riah', 'warga', 'jogja', 'serba', 'worth', 'avoskin', 'lacoco', 'azarine', 'blp', 'base', 'kitschy', 'luxcrime', 'somethinc', 'oasea']",Positive
Fri Aug 02 12:01:09 +0000 2024,1,hadalabo atau azarine,0,0,0,yukyulfa,"['hadalabo', 'azarine']",Neutral
Fri Aug 02 11:48:54 +0000 2024,0,kostku ada nderr di kocor kost azarine begitu yang mau dm ya periode sampai oktober akhir,0,1,0,ikokbelajar,"['kostku', 'nderr', 'kocor', 'kost', 'azarine', 'dm', 'ya', 'periode', 'oktober']",Neutral
Fri Aug 02 11:47:13 +0000 2024,0,arti aku nyaraninnya ganti azarine saja enak tip nya gampang di hapus juga kalo masih awal belum nge sett xixi,0,1,0,milkteakuy,"['arti', 'nyaraninnya', 'ganti', 'azarine', 'enak', 'tip', 'nya', 'gampang', 'hapus', 'kalo', 'belum_nge', 'sett', 'xixi']",Positive
Fri Aug 02 11:32:15 +0000 2024,1,liptint azarine emina bnb lipcream wardah hanasui,0,0,0,Rydicoulous,"['liptint', 'azarine', 'emina', 'bnb', 'lipcream', 'wardah', 'hanasui']",Neutral
Fri Aug 02 11:25:18 +0000 2024,0,cakep oi,0,0,0,ssailerrmun,"['cakep', 'oi']",Neutral
Fri Aug 02 11:23:50 +0000 2024,1,azarine city defense aqua essence sun shield serum spf apa ml harga rp dapat sekarang juga di shopee,0,0,0,berburusales,"['azarine', 'city', 'defense', 'aqua', 'essence', 'sun', 'shield', 'serum', 'spf', 'ml', 'harga', 'rp', 'shopee']",Neutral
Fri Aug 02 11:21:40 +0000 2024,0,azarine juga bagus yang collab sama red velvet itu,0,0,0,horkny,"['azarine', 'bagus', 'collab', 'red', 'velvet']",Positive
Fri Aug 02 11:08:01 +0000 2024,0,twin pack gel azarine hydrasoothe sunscreen gel spf apa xml lolos uji invivo invitro best seller sunscreen kulit minyak jerawat,0,0,0,racun___id,"['twin', 'pack', 'gel', 'azarine', 'hydrasoothe', 'sunscreen', 'gel', 'spf', 'xml', 'lolos', 'uji', 'invivo', 'invitro', 'best', 'seller', 'sunscreen', 'kulit', 'minyak', 'jerawat']",Neutral
Fri Aug 02 11:07:08 +0000 2024,0,azarine calm my acne sunscreen moisturiser spf apa lolos uji invivo invitro sunscreen gel untuk kulit minyak jerawat sensitif ml,0,0,0,racun___id,"['azarine', 'calm', 'my', 'acne', 'sunscreen', 'moisturiser', 'spf', 'lolos', 'uji', 'invivo', 'invitro', 'sunscreen', 'gel', 'kulit', 'minyak', 'jerawat', 'sensitif', 'ml']",Neutral
Fri Aug 02 08:42:22 +0000 2024,0,cuma pakai voc toko azarine diskon sd ke,0,0,0,diskonsorecu,"['pakai', 'voc', 'toko', 'azarine', 'diskon', 'sd']",Neutral
Fri Aug 02 08:40:52 +0000 2024,0,enak banget gue makan saja menit doang der sampai mau muntah,0,0,0,ssailerrmun,"['enak', 'banget', 'gue', 'makan', 'menit', 'doang', 'der', 'muntah']",Neutral
Fri Aug 02 08:39:06 +0000 2024,0,sudah capek hidup kagak dapat kim younghoon buat apa gue jalan hidup ini dengan penuh semangat,0,0,0,ssailerrmun,"['capek', 'hidup', 'kagak', 'kim', 'younghoon', 'gue', 'jalan', 'hidup', 'penuh', 'semangat']",Neutral
Fri Aug 02 08:37:16 +0000 2024,0,ada yang cakep,0,1,0,ssailerrmun,['cakep'],Neutral
Fri Aug 02 08:37:01 +0000 2024,0,kagak,0,1,0,ssailerrmun,['kagak'],Neutral
Fri Aug 02 08:06:30 +0000 2024,3,sunscreen azarine hydrasoothe cuma ribu pakai voc toko diskon sd ke di bawah produk,0,1,0,diskonsorecu,"['sunscreen', 'azarine', 'hydrasoothe', 'ribu', 'pakai', 'voc', 'toko', 'diskon', 'sd', 'produk']",Positive
Fri Aug 02 08:03:12 +0000 2024,0,hnyr suah maka yang azarine di tengah itu saja pang,0,1,0,pinkxyzz,"['hnyr', 'suah', 'azarine', 'pang']",Neutral
Fri Aug 02 08:01:33 +0000 2024,1,klaim voucher toko azarine diskon sd ke klaim di bawah produk,1,0,0,diskonsorecu,"['klaim', 'voucher', 'toko', 'azarine', 'diskon', 'sd', 'klaim', 'produk']",Neutral
Fri Aug 02 07:22:38 +0000 2024,0,untuk semua cleanser nya sih white dan acne gentle padahal aman untuk orang yang punya fungal acne tapi enggak aman untuk kulit sensitif over all semua cleanser azarine aman untuk dry skin,0,1,0,issssms,"['cleanser', 'nya', 'sih', 'white', 'acne', 'gentle', 'aman', 'orang', 'fungal', 'acne', 'enggak_aman', 'kulit', 'sensitif', 'over', 'all', 'cleanser', 'azarine', 'aman', 'dry', 'skin']",Positive
Fri Aug 02 07:11:22 +0000 2024,0,cepat juga ya ldkbn sekarang gel saja sudah pulang asa baru kemarin gue pulang,0,1,0,ssailerrmun,"['cepat', 'ya', 'ldkbn', 'gel', 'pulang', 'asa', 'kemarin', 'gue', 'pulang']",Neutral
Fri Aug 02 07:10:23 +0000 2024,0,anjr jahat,0,0,0,ssailerrmun,"['anjr', 'jahat']",Neutral
Fri Aug 02 07:09:57 +0000 2024,0,azarine asal indonesia anjir banyak banget varian aku bagi saja dalam cleanser toner moisturizer sunscreen sunblock enggak habis fikir banyak banget,0,1,0,issssms,"['azarine', 'indonesia', 'anjir', 'banget', 'varian', 'cleanser', 'toner', 'moisturizer', 'sunscreen', 'sunblock', 'enggak_habis', 'fikir', 'banget']",Positive
Fri Aug 02 07:09:35 +0000 2024,0,semua pengin di beli jir,0,0,0,ssailerrmun,"['pengin', 'beli', 'jir']",Neutral
Fri Aug 02 07:02:29 +0000 2024,0,rate indosat berapa kak,0,1,0,catcatcuttie,"['rate', 'indosat', 'kak']",Neutral
Fri Aug 02 07:01:59 +0000 2024,0,azarine kali marvel retinol complex kali ceramide serum ml diskon begitu under ke,0,1,0,diatasbintang4,"['azarine', 'kali', 'marvel', 'retinol', 'complex', 'kali', 'ceramide', 'serum', 'ml', 'diskon', 'under']",Neutral
